Navn,Parti,Totalt,Tilstede,Tilstede(%)
"Røkkum, Naomi Ichihara",Venstre,37,0,0
"Solberg, Eirik Lae",Høyre,302,12,4
"Solberg, Erna",Høyre,2614,114,4.4
"Melby, Guri",Venstre,2614,123,4.7
"Bru, Tina",Høyre,690,39,5.7
"Listhaug, Sylvi",Fremskrittspartiet,2614,174,6.7
"Gharahkhani, Masud",Arbeiderpartiet,2614,401,15.3
"Søreide, Ine Eriksen",Høyre,2576,539,20.9
"Asheim, Henrik",Høyre,2614,579,22.1
"Arnstad, Marit",Senterpartiet,2614,598,22.9
"Nordlund, Willfred",Senterpartiet,1911,441,23.1
"Myrli, Sverre",Arbeiderpartiet,1622,381,23.5
"Pollestad, Geir",Senterpartiet,2281,551,24.2
"Aasrud, Rigmor",Arbeiderpartiet,2614,645,24.7
"Stang, Gunhild Berge",Venstre,4,1,25
"Raja, Abid",Venstre,2614,684,26.2
"Helleland, Trond",Høyre,2484,673,27.1
"Vamraak, Tore Grobæk",Høyre,51,14,27.5
"Bergstø, Kirsti",Sosialistisk Venstreparti,2614,763,29.2
"Klinge, Jenny",Senterpartiet,2558,756,29.6
"Knutsen, Eigil",Arbeiderpartiet,2096,638,30.4
"Kaski, Kari Elisabeth",Sosialistisk Venstreparti,1520,471,31
"Ervik, May Helen Hetland",Fremskrittspartiet,451,145,32.2
"Bollestad, Olaug Vervik",Kristelig Folkeparti,2587,853,33
"Tajik, Hadia",Arbeiderpartiet,2614,874,33.4
"Helleland, Linda Hofstad",Høyre,2221,752,33.9
"Moxnes, Bjørnar",Rødt,2345,813,34.7
"Hansen, Eva Kristin",Arbeiderpartiet,1607,562,35
"Greni, Heidi",Senterpartiet,2577,903,35
"Lysbakken, Audun",Sosialistisk Venstreparti,2582,1002,38.8
"Strifeldt, Bengt Rune",Fremskrittspartiet,2614,1019,39
"Schou, Ingjerd Schie",Høyre,2566,1020,39.8
"Strand, Marit Knutsdatter",Senterpartiet,2215,896,40.5
"Vågslid, Lene",Arbeiderpartiet,2614,1068,40.9
"Westgaard-Halle, Lene",Høyre,1886,782,41.5
"Sande, Erling",Senterpartiet,2281,947,41.5
"Fasteraune, Bengt",Senterpartiet,2614,1086,41.5
"Henriksen, Kari",Arbeiderpartiet,2491,1036,41.6
"Ulstein, Dag-Inge",Kristelig Folkeparti,2325,970,41.7
"Sem-Jacobsen, Åslaug",Senterpartiet,2379,998,42
"Asphjell, Jorodd",Arbeiderpartiet,2360,999,42.3
"Skjæran, Bjørnar",Arbeiderpartiet,333,142,42.6
"Krutå, Rune",Arbeiderpartiet,79,34,43
"Høgestøl, Sofie",Venstre,282,125,44.3
"Berg, Lan Marie Nguyen",Miljøpartiet De Grønne,2561,1139,44.5
"Fylkesnes, Torgeir Knag",Sosialistisk Venstreparti,2614,1177,45
"Nilsen, Marius Arion",Fremskrittspartiet,2477,1150,46.4
"Selnes, Lise",Arbeiderpartiet,2586,1219,47.1
"Trøen, Tone Wilhelmsen",Høyre,2601,1229,47.3
"Moflag, Tuva",Arbeiderpartiet,2614,1237,47.3
"Stensland, Sveinung",Høyre,2257,1088,48.2
"Skjelstad, André N.",Venstre,2312,1115,48.2
"Nyholt, Hege Bae",Rødt,2312,1117,48.3
"Njåstad, Helge André",Fremskrittspartiet,2460,1190,48.4
"Johnsen, Tor André",Fremskrittspartiet,2546,1234,48.5
"Jørgensen, Geir",Rødt,2614,1271,48.6
"Skjervø, Gaute Børstad",Arbeiderpartiet,893,437,48.9
"Martinussen, Marie Sneve",Rødt,2614,1282,49
"Kristjánsson, Mímir",Rødt,2513,1252,49.8
"Kapur, Mudassar",Høyre,2614,1305,49.9
"Nilsen, Mona",Arbeiderpartiet,2432,1216,50
"Frølich, Peter",Høyre,2614,1325,50.7
"Astrup, Nikolai",Høyre,2614,1326,50.7
"Støstad, Rune",Arbeiderpartiet,2614,1339,51.2
"Merkesdal, Linda Monsen",Arbeiderpartiet,2614,1352,51.7
"Staalesen, Siri Gåsemyr",Arbeiderpartiet,2610,1350,51.7
"Bastholm, Une",Miljøpartiet De Grønne,1581,818,51.7
"Solberg, Torstein Tvedt",Arbeiderpartiet,1641,852,51.9
"Tyldum, Per Olav",Senterpartiet,2614,1363,52.1
"Mossleth, Siv",Senterpartiet,2375,1247,52.5
"Aydar, Seher",Rødt,2362,1245,52.7
"Bruflot, Sandra",Høyre,1531,809,52.8
"Halleland, Terje",Fremskrittspartiet,2163,1150,53.2
"Myhrvold, Ole André",Senterpartiet,2590,1382,53.4
"Sanner, Jan Tore",Høyre,2613,1395,53.4
"Kjølmoen, Per Vidar",Arbeiderpartiet,2582,1380,53.4
"Aasen-Svensrud, Maria",Arbeiderpartiet,2614,1399,53.5
"Trellevik, Ove",Høyre,2577,1388,53.9
"Almeland, Grunde",Venstre,2542,1379,54.2
"Bjørlo, Alfred Jens",Venstre,2610,1428,54.7
"Næss, Marianne Sivertsen",Arbeiderpartiet,2561,1404,54.8
"Wessel, Naomi",Rødt,101,56,55.4
"Lund, Tobias Drevland",Rødt,2614,1487,56.9
"Myrseth, Cecilie",Arbeiderpartiet,2281,1299,56.9
"Jaffery, Lubna Boby",Arbeiderpartiet,1924,1103,57.3
"Tybring-Gjedde, Mathilde",Høyre,1165,668,57.3
"Vasvik, Truls",Arbeiderpartiet,1893,1087,57.4
"Jacobsen, Frode",Arbeiderpartiet,2608,1508,57.8
"Breivik, Ane",Venstre,393,228,58
"Marhaug, Sofie",Rødt,2477,1449,58.5
"Waagen, Elise",Arbeiderpartiet,2614,1546,59.1
"Abusland, Anja Ninasdotter",Senterpartiet,911,541,59.4
"Bjørnstad, Sivert",Fremskrittspartiet,2614,1563,59.8
"Wiborg, Erlend",Fremskrittspartiet,2332,1399,60
"Fiskaa, Ingrid",Sosialistisk Venstreparti,2614,1574,60.2
"Bråthen, Karianne B.",Arbeiderpartiet,2281,1378,60.4
"Sørvik, Terje",Arbeiderpartiet,2614,1580,60.4
"Jønnes, Kari-Anne",Høyre,2614,1582,60.5
"Gunaratnam, Kamzy",Arbeiderpartiet,2263,1370,60.5
"Aukrust, Åsmund",Arbeiderpartiet,2579,1562,60.6
"Orten, Helge",Høyre,2614,1590,60.8
"Trettebergstuen, Anette",Arbeiderpartiet,64,39,60.9
"Hartviksen, Ragnhild Male",Arbeiderpartiet,2231,1369,61.4
"Hoksrud, Bård",Fremskrittspartiet,2525,1557,61.7
"Lauvås, Stein Erik",Arbeiderpartiet,2513,1560,62.1
"Elvestuen, Ola",Venstre,2367,1485,62.7
"Fagerås, Mona",Sosialistisk Venstreparti,2614,1657,63.4
"Persen, Marte Mjøs",Arbeiderpartiet,333,213,64
"Tybring-Gjedde, Christian",Fremskrittspartiet,2614,1673,64
"Hussaini, Mani",Arbeiderpartiet,2519,1624,64.5
"Hansson, Rasmus",Miljøpartiet De Grønne,2610,1697,65
"Prestbakmo, Ivar B.",Senterpartiet,2614,1701,65.1
"Larsen, Erlend",Høyre,1681,1094,65.1
"Foss, Ingunn",Høyre,2513,1642,65.3
"Bakke, Åse Kristin Ask",Arbeiderpartiet,2614,1719,65.8
"Hagerup, Margret",Høyre,2611,1725,66.1
"Limi, Hans Andreas",Fremskrittspartiet,2585,1717,66.4
"Kollbotn, Terje",Rødt,137,91,66.4
"Lie, Kathy",Sosialistisk Venstreparti,2473,1644,66.5
"Eriksen, Even",Arbeiderpartiet,1180,785,66.5
"Rotevatn, Sveinung",Venstre,2221,1483,66.8
"Sve, Frank Edvard",Fremskrittspartiet,2614,1765,67.5
"Grotle, Olve",Høyre,2577,1742,67.6
"Steffensen, Roy",Fremskrittspartiet,2614,1771,67.8
"Lønseth, Mari Holm",Høyre,2614,1771,67.8
"Farahmand, Mahmoud",Høyre,2610,1777,68.1
"Johnsen, Kristin Ørmen",Høyre,1135,776,68.4
"Framnes, Sigbjørn",Fremskrittspartiet,352,242,68.8
"Gimse, Guro Angell",Høyre,393,271,69
"Lien, Geir Inge",Senterpartiet,2614,1807,69.1
"Thorheim, Bård Ludvig",Høyre,2604,1810,69.5
"Hussein, Marian",Sosialistisk Venstreparti,2488,1730,69.5
"Pettersen, Tage",Høyre,2601,1816,69.8
"Kvensjø, Marianne Dobak",Høyre,10,7,70
"Mykjåland, Gro-Anita",Senterpartiet,2493,1749,70.2
"Lagesen, May Britt",Arbeiderpartiet,1721,1209,70.2
"Klungland, Lisa Marie Ness",Senterpartiet,2582,1818,70.4
"Lundteigen, Per Olaf",Senterpartiet,2208,1557,70.5
"Eskeland, Liv Kari",Høyre,2577,1822,70.7
"Kristensen, Turid",Høyre,2614,1855,71
"Hjemdal, Silje",Fremskrittspartiet,2354,1675,71.2
"Gjelsvik, Sigbjørn",Senterpartiet,333,237,71.2
"Unneland, Andreas Sjalg",Sosialistisk Venstreparti,2586,1845,71.3
"Hagen, Carl I.",Fremskrittspartiet,2486,1794,72.2
"Grøthe, Maren",Senterpartiet,2281,1647,72.2
"Huitfeldt, Anniken",Arbeiderpartiet,333,241,72.4
"Holand, Hans Gunnar",Senterpartiet,942,687,72.9
"Sjåstad, Runar",Arbeiderpartiet,2614,1923,73.6
"Lunde, Heidi Nordby",Høyre,2311,1702,73.6
"Haltbrekken, Lars",Sosialistisk Venstreparti,2482,1846,74.4
"Sekkingstad, Sara Hamre",Senterpartiet,282,210,74.5
"Moe, Ola Borten",Senterpartiet,333,249,74.8
"Schäffer, Emilie",Høyre,4,3,75
"Madland, Tove Elise",Arbeiderpartiet,2413,1812,75.1
"Olsen, Dagfinn Henrik",Fremskrittspartiet,2500,1878,75.1
"Thorsvik, Ingvild Wetrhus",Venstre,2586,1943,75.1
"Karlsen, Tom Einar",Arbeiderpartiet,362,272,75.1
"Haug, Kristoffer Robin",Miljøpartiet De Grønne,974,733,75.3
"Foshaug, Nils-Ole",Arbeiderpartiet,2585,1946,75.3
"Andersen, Alf Erik Bergstøl",Fremskrittspartiet,410,309,75.4
"Bøe, Erlend Svardal",Høyre,2614,1973,75.5
"Ropstad, Kjell Ingolf",Kristelig Folkeparti,2565,1942,75.7
"Sandtrøen, Per Martin",Senterpartiet,2268,1721,75.9
"Vereide, Torbjørn",Arbeiderpartiet,2393,1816,75.9
