Navn,Parti,Totalt,Tilstede,Tilstede(%)
"Myrseth, Cecilie",Arbeiderpartiet,18,0,0
"Sølberg, Signe Bakke",Miljøpartiet De Grønne,10,0,0
"Røkkum, Naomi Ichihara",Venstre,72,0,0
"Solberg, Erna",Høyre,2153,88,4.1
"Bergstø, Kirsti",Sosialistisk Venstreparti,2153,114,5.3
"Listhaug, Sylvi",Fremskrittspartiet,2153,197,9.2
"Melby, Guri",Venstre,2153,246,11.4
"Asheim, Henrik",Høyre,2153,290,13.5
"Bru, Tina",Høyre,2153,391,18.2
"Arnstad, Marit",Senterpartiet,2153,473,22
"Raja, Abid",Venstre,2153,577,26.8
"Wold, Henning",Høyre,233,63,27
"Bollestad, Olaug Vervik",Kristelig Folkeparti,1409,407,28.9
"Gharahkhani, Masud",Arbeiderpartiet,2153,623,28.9
"Søreide, Ine Eriksen",Høyre,2047,605,29.6
"Aasrud, Rigmor",Arbeiderpartiet,2153,642,29.8
"Greni, Heidi",Senterpartiet,2141,651,30.4
"Klinge, Jenny",Senterpartiet,1614,496,30.7
"Vågslid, Lene",Arbeiderpartiet,2153,680,31.6
"Asphjell, Jorodd",Arbeiderpartiet,1547,502,32.4
"Kjerkol, Ingvild",Arbeiderpartiet,1025,365,35.6
"Martinussen, Marie Sneve",Rødt,2153,770,35.8
"Kaski, Kari Elisabeth",Sosialistisk Venstreparti,2046,747,36.5
"Høgestøl, Sofie",Venstre,93,34,36.6
"Myhrvold, Ole André",Senterpartiet,2123,790,37.2
"Sanner, Jan Tore",Høyre,1943,731,37.6
"Westgaard-Halle, Lene",Høyre,1936,758,39.2
"Moflag, Tuva",Arbeiderpartiet,2123,845,39.8
"Mykjåland, Gro-Anita",Senterpartiet,1868,751,40.2
"Aasen-Svensrud, Maria",Arbeiderpartiet,2012,817,40.6
"Kjølmoen, Per Vidar",Arbeiderpartiet,2101,860,40.9
"Westrum, Stine",Rødt,669,279,41.7
"Selnes, Lise",Arbeiderpartiet,2069,863,41.7
"Bastholm, Une",Miljøpartiet De Grønne,2066,897,43.4
"Myrli, Sverre",Arbeiderpartiet,1855,818,44.1
"Ulstein, Dag-Inge",Kristelig Folkeparti,2073,923,44.5
"Lagesen, May Britt",Arbeiderpartiet,1081,482,44.6
"Helleland, Linda Hofstad",Høyre,2118,951,44.9
"Berg, Lan Marie Nguyen",Miljøpartiet De Grønne,2005,901,44.9
"Sem-Jacobsen, Åslaug",Senterpartiet,2120,954,45
"Moe, Ola Borten",Senterpartiet,2097,944,45
"Strand, Marit Knutsdatter",Senterpartiet,2153,977,45.4
"Næss, Marianne Sivertsen",Arbeiderpartiet,1011,468,46.3
"Nilsen, Marius Arion",Fremskrittspartiet,2153,1003,46.6
"Schou, Ingjerd Schie",Høyre,2123,992,46.7
"Nordlund, Willfred",Senterpartiet,1585,747,47.1
"Halleland, Terje",Fremskrittspartiet,2060,975,47.3
"Strifeldt, Bengt Rune",Fremskrittspartiet,2075,986,47.5
"Tajik, Hadia",Arbeiderpartiet,2153,1025,47.6
"Vasvik, Truls",Arbeiderpartiet,2102,1004,47.8
"Skjelstad, André N.",Venstre,2089,1002,48
"Hansen, Eva Kristin",Arbeiderpartiet,1586,765,48.2
"Jørgensen, Geir",Rødt,2153,1045,48.5
"Røed, Even A.",Arbeiderpartiet,2123,1035,48.8
"Frølich, Peter",Høyre,2153,1077,50
"Trettebergstuen, Anette",Arbeiderpartiet,1458,735,50.4
"Solberg, Torstein Tvedt",Arbeiderpartiet,2092,1063,50.8
"Tyldum, Per Olav",Senterpartiet,2153,1095,50.9
"Lund, Tobias Drevland",Rødt,2129,1108,52
"Kristjánsson, Mímir",Rødt,2120,1109,52.3
"Bjørnstad, Sivert",Fremskrittspartiet,2153,1146,53.2
"Jacobsen, Frode",Arbeiderpartiet,2040,1097,53.8
