Navn,Parti,Totalt,Tilstede,Tilstede(%)
"Hansen, Terje",Fremskrittspartiet,348,223,64.1
"Bjørlo, Alfred Jens",Venstre,2574,1661,64.5
"Watne, Emma",Rødt,1511,976,64.6
"Sørvik, Terje",Arbeiderpartiet,2641,1715,64.9
"Fylkesnes, Torgeir Knag",Sosialistisk Venstreparti,2641,1719,65.1
"Merkesdal, Linda Monsen",Arbeiderpartiet,2617,1709,65.3
"Halleland, Terje",Fremskrittspartiet,2287,1503,65.7
"Almeland, Grunde",Venstre,2440,1621,66.4
"Sandtrøen, Nils Kristen",Arbeiderpartiet,2641,1777,67.3
"Næss, Marianne Sivertsen",Arbeiderpartiet,2616,1795,68.6
"Limi, Hans Andreas",Fremskrittspartiet,2628,1807,68.8
"Gunaratnam, Kamzy",Arbeiderpartiet,2338,1629,69.7
"Sundnes, Trine Lise",Arbeiderpartiet,2266,1584,69.9
"Kapur, Mudassar",Høyre,2641,1853,70.2
"Iversen, Geir Adelsten",Senterpartiet,2627,1853,70.5
"Fiskaa, Ingrid",Sosialistisk Venstreparti,2562,1809,70.6
"Lagesen, May Britt",Arbeiderpartiet,1925,1364,70.9
"Høgestøl, Sofie",Venstre,275,195,70.9
"Rem, Lars",Fremskrittspartiet,66,47,71.2
"Bjørnstad, Sivert",Fremskrittspartiet,2640,1884,71.4
"Wold, Grete",Sosialistisk Venstreparti,2611,1866,71.5
"Kjølmoen, Per Vidar",Arbeiderpartiet,2590,1864,72
"Sjåstad, Runar",Arbeiderpartiet,2562,1844,72
"Hussaini, Mani",Arbeiderpartiet,1194,861,72.1
"Henriksen, Kari",Arbeiderpartiet,2364,1708,72.3
"Myrseth, Cecilie",Arbeiderpartiet,2641,1933,73.2
"Sve, Frank Edvard",Fremskrittspartiet,2640,1938,73.4
"Nyholt, Hege Bae",Rødt,2339,1719,73.5
"Grotle, Olve",Høyre,2640,1944,73.6
"Gunnufsen, Amalie",Høyre,88,65,73.9
"Bjørke, Nils T.",Senterpartiet,2641,1972,74.7
"Myhrvold, Ole André",Senterpartiet,2593,1947,75.1
"Pettersen, Tage",Høyre,2641,1992,75.4
"Stokkebø, Aleksander",Høyre,2322,1764,76
"Prestbakmo, Ivar B.",Senterpartiet,2641,2015,76.3
"Lund, Tobias Drevland",Rødt,2641,2020,76.5
"Lunde, Heidi Nordby",Høyre,2339,1792,76.6
"Lien, Geir Inge",Senterpartiet,2636,2026,76.9
"Farahmand, Mahmoud",Høyre,2639,2029,76.9
"Hagen, Carl I.",Fremskrittspartiet,2575,1981,76.9
"Lønseth, Mari Holm",Høyre,2641,2034,77
"Kalsås, Tom",Arbeiderpartiet,1258,973,77.3
"Røed, Even A.",Arbeiderpartiet,2637,2058,78
"Rotevatn, Sveinung",Venstre,2641,2065,78.2
"Hjemdal, Silje",Fremskrittspartiet,2553,2005,78.5
"Thorheim, Bård Ludvig",Høyre,2574,2029,78.8
"Tybring-Gjedde, Christian",Fremskrittspartiet,2641,2084,78.9
"Bakke, Åse Kristin Ask",Arbeiderpartiet,2635,2095,79.5
"Stensland, Sveinung",Høyre,2338,1862,79.6
"Haug, Kristoffer Robin",Miljøpartiet De Grønne,654,522,79.8
"Bruflot, Sandra",Høyre,2277,1821,80
"Mathisen, Øystein",Arbeiderpartiet,2532,2028,80.1
"Spurkeland, Charlotte",Høyre,348,279,80.2
"Funderud, Kjerstin Wøyen",Senterpartiet,2641,2129,80.6
"Larsen, Erlend",Høyre,2311,1867,80.8
"Jacobsen, Frode",Arbeiderpartiet,2640,2140,81.1
"Elvestuen, Ola",Venstre,2566,2085,81.3
"Klovning, Marte Eide",Arbeiderpartiet,291,237,81.4
"Selnes, Lise",Arbeiderpartiet,2602,2126,81.7
"Framnes, Sigbjørn",Fremskrittspartiet,580,474,81.7
"Vitanza, Solveig",Arbeiderpartiet,2590,2117,81.7
"Vamraak, Tore",Høyre,870,714,82.1
"Steffensen, Roy",Fremskrittspartiet,2482,2037,82.1
"Lundteigen, Per Olaf",Senterpartiet,2324,1912,82.3
"Vasvik, Truls",Arbeiderpartiet,2564,2138,83.4
"Lie, Kathy",Sosialistisk Venstreparti,2627,2192,83.4
"Orten, Helge",Høyre,2641,2212,83.8
"Drivenes, Eivind",Senterpartiet,752,631,83.9
"Sandtrøen, Per Martin",Senterpartiet,2338,1966,84.1
"Hovland, Odd Harald",Arbeiderpartiet,2640,2224,84.2
"Eriksen, Even",Arbeiderpartiet,2602,2197,84.4
"Amundsen, Per-Willy",Fremskrittspartiet,2641,2236,84.7
"Jønnes, Kari-Anne",Høyre,2641,2236,84.7
"Hansson, Rasmus",Miljøpartiet De Grønne,2471,2095,84.8
"Foshaug, Nils-Ole",Arbeiderpartiet,2640,2241,84.9
"Wold, Morten",Fremskrittspartiet,2602,2219,85.3
"Vereide, Torbjørn",Arbeiderpartiet,2641,2261,85.6
"Haarr, Margrethe",Senterpartiet,2641,2261,85.6
"Linge, Tobias Hangaard",Arbeiderpartiet,2126,1835,86.3
"Klungland, Lisa Marie Ness",Senterpartiet,2640,2279,86.3
"Molberg, Anna",Høyre,2641,2281,86.4
"Krogstad, Steinar",Arbeiderpartiet,1190,1029,86.5
"Hussein, Marian",Sosialistisk Venstreparti,2641,2291,86.7
"Saudland, Gisle Meininger",Fremskrittspartiet,2630,2307,87.7
"Usland, Birte",Arbeiderpartiet,276,243,88
"Ismail, Rauand",Miljøpartiet De Grønne,514,453,88.1
"Øvstegård, Freddy André",Sosialistisk Venstreparti,2639,2332,88.4
"Elvenes, Hårek",Høyre,2640,2352,89.1
"Bell, Sara",Sosialistisk Venstreparti,1608,1436,89.3
"Fosser, Lars Vegard",Senterpartiet,48,43,89.6
"Stordalen, Morten",Fremskrittspartiet,2640,2366,89.6
"Myrvold, Hans Inge",Senterpartiet,2620,2351,89.7
"Rødby, Else Marie",Senterpartiet,2641,2384,90.3
"Sekkingstad, Sara Hamre",Senterpartiet,21,19,90.5
"Andersen, Alf Erik Bergstøl",Fremskrittspartiet,11,10,90.9
"Tønnesen, Berit",Arbeiderpartiet,57,52,91.2
"Mørland, Tellef Inge",Arbeiderpartiet,2179,1996,91.6
"Patel, Anita",Arbeiderpartiet,216,198,91.7
"Christoffersen, Lise",Arbeiderpartiet,2602,2396,92.1
"Ropstad, Kjell Ingolf",Kristelig Folkeparti,2626,2438,92.8
"Laabak, Bjørnar",Fremskrittspartiet,181,171,94.5
"Torset, Christian",Sosialistisk Venstreparti,153,145,94.8
"Holm, Fredrik",Høyre,39,37,94.9
"Aaland, Bente Irene",Arbeiderpartiet,39,37,94.9
"Kvensjø, Marianne Dobak",Høyre,66,63,95.5
"Johnsen, Kristin Ørmen",Høyre,469,448,95.5
"Blikra, Jone",Arbeiderpartiet,2045,1958,95.7
"Andersen, Karoline Sjøen",Høyre,302,290,96
"Arff, Andreas",Fremskrittspartiet,26,25,96.2
"Kloster, Paal",Sosialistisk Venstreparti,79,76,96.2
"Denstad, John-Peder",Rødt,302,291,96.4
"Berge, Renate Sølversen",Høyre,290,280,96.6
"Viljugrein, Agnes Nærland",Arbeiderpartiet,397,385,97
"Ellingsen, Cato Brunvand",Sosialistisk Venstreparti,364,354,97.3
"Saanum, Håvard Sagbakken",Arbeiderpartiet,39,38,97.4
"Kierulf, Lavrans",Fremskrittspartiet,39,38,97.4
"Brekke, Camilla Maria",Arbeiderpartiet,91,89,97.8
"Jakobsen, Benjamin",Arbeiderpartiet,501,490,97.8
"Rehman, Shakeel",Arbeiderpartiet,51,50,98
"Bjuland, Hadle Rasmus",Kristelig Folkeparti,64,63,98.4
"Våg, Tone",Arbeiderpartiet,65,64,98.5
"Urbø, Olav",Senterpartiet,166,164,98.8
"Wold, Henning",Høyre,330,327,99.1
"Myhr, Ingrid Tønseth",Arbeiderpartiet,234,232,99.1
"Kroglund, Abel Cecilie Knibe",Arbeiderpartiet,462,459,99.4
"Lauvsnes, Irene Heng",Høyre,633,630,99.5
"Løvik, Marte",Senterpartiet,21,21,100
"Ohren, Håkon",Arbeiderpartiet,3,3,100
"Lied, Per Ivar",Senterpartiet,26,26,100
"Hamnes, Skjalg",Senterpartiet,22,22,100
"Vikre, Thorleif Fluer",Fremskrittspartiet,16,16,100
"Karim, Aram",Sosialistisk Venstreparti,30,30,100
"Danielsen, Hilde Marie Gaebpie",Sosialistisk Venstreparti,48,48,100
"Torve, Kristian",Arbeiderpartiet,226,226,100
"Holmgren, Heidi Anita Lindkvist",Senterpartiet,14,14,100
