Navn,Parti,Totalt,Tilstede,Tilstede(%)
"Tajik, Hadia",Arbeiderpartiet,332,0,0
"Støre, Jonas Gahr",Arbeiderpartiet,1965,0,0
"Jensen, Siv",Fremskrittspartiet,1965,34,1.7
"Lysbakken, Audun",Sosialistisk Venstreparti,1965,51,2.6
"Listhaug, Sylvi",Fremskrittspartiet,1965,89,4.5
"Helleland, Trond",Høyre,1965,168,8.5
"Bransdal, Torhild",Kristelig Folkeparti,1850,215,11.6
"Bjørdal, Fredric Holen",Arbeiderpartiet,1965,232,11.8
"Vedum, Trygve Slagsvold",Senterpartiet,1965,248,12.6
"Grande, Trine Skei",Venstre,1965,251,12.8
"Gharahkhani, Masud",Arbeiderpartiet,1965,323,16.4
"Norderhus, Else-May",Arbeiderpartiet,1965,325,16.5
"Trettebergstuen, Anette",Arbeiderpartiet,1965,390,19.8
"Hagebakken, Tore",Arbeiderpartiet,1796,373,20.8
"Nyborg, Torill Selsvold",Kristelig Folkeparti,1965,441,22.4
"Skjelstad, André N.",Venstre,1965,455,23.2
"Breivik, Terje",Venstre,1965,479,24.4
"Gudmundsen, Kent",Høyre,1965,504,25.6
"Kvinlaug, Per Sverre",Kristelig Folkeparti,115,30,26.1
"Lossius, Jorunn Gleditsch",Kristelig Folkeparti,1965,519,26.4
"Christensen, Jette F.",Arbeiderpartiet,1877,498,26.5
"Sivertsen, Eirik",Arbeiderpartiet,1965,536,27.3
"Heggelund, Stefan",Høyre,1965,550,28
"Fylkesnes, Torgeir Knag",Sosialistisk Venstreparti,1965,556,28.3
"Arnstad, Marit",Senterpartiet,1965,566,28.8
"Sem-Jacobsen, Åslaug",Senterpartiet,1857,571,30.7
"Agdestein, Elin Rodum",Høyre,1965,617,31.4
"Sandberg, Nina",Arbeiderpartiet,1965,622,31.7
"Navarsete, Liv Signe",Senterpartiet,1965,638,32.5
"Marthinsen, Marianne",Arbeiderpartiet,1965,645,32.8
"Mehl, Emilie Enger",Senterpartiet,1965,649,33
"Tybring-Gjedde, Mathilde",Høyre,1802,618,34.3
"Schytz, Solveig",Venstre,1965,675,34.4
"Kaski, Kari Elisabeth",Sosialistisk Venstreparti,1965,682,34.7
"Olsen, Ingalill",Arbeiderpartiet,1965,686,34.9
"Lyngedal, Åsunn",Arbeiderpartiet,1965,689,35.1
"Fasteraune, Bengt",Senterpartiet,1965,702,35.7
"Staalesen, Siri Gåsemyr",Arbeiderpartiet,1965,702,35.7
"Iversen, Geir Adelsten",Senterpartiet,1965,705,35.9
"Nordlund, Willfred",Senterpartiet,1724,620,36
"Trøen, Tone Wilhelmsen",Høyre,1965,715,36.4
"Jegstad, Nils Aage",Høyre,1965,717,36.5
"Heggø, Ingrid",Arbeiderpartiet,1965,722,36.7
"Kristensen, Turid",Høyre,1965,733,37.3
"Hove, Aud",Senterpartiet,440,169,38.4
